cik,ticker,composite_figi,share_class_figi,name,valid_from,valid_to,source_snapshot
766704,WELL,BBG000BKY1G5,BBG001S5RTQ4,WELLTOWER INC.,2026-02-15,,202602
789019,MSFT,BBG000BPH459,BBG001S5TD05,MICROSOFT CORP,2026-02-15,,202602
804328,QCOM,BBG000CGC1X8,BBG001S6VS70,QUALCOMM INC/DE,2026-02-15,,202602
811809,BHP,BBG000BD5NZ4,BBG001S5P5K4,BHP Group Ltd,2026-02-15,,202602
820313,APH,BBG000B9YJ35,BBG001S5NSK6,AMPHENOL CORP /DE/,2026-02-15,,202602
831001,C,BBG000FY4S11,BBG001S72ZG4,CITIGROUP INC,2026-02-15,,202602
858877,CSCO,BBG000C3J3C9,BBG001S6HC62,"CISCO SYSTEMS, INC.",2026-02-15,,202602
879764,TTE,BBG000JLVJ97,BBG001S67Y74,TotalEnergies SE,2026-02-15,,202602
882095,GILD,BBG000CKGBP2,BBG001S6Y1X7,"GILEAD SCIENCES, INC.",2026-02-15,,202602
886982,GS,BBG000C6CFJ5,BBG001SC07Z6,GOLDMAN SACHS GROUP INC,2026-02-15,,202602
887028,RTNTF,BBG000CXSFS9,BBG001S609B1,RIO TINTO LTD,2026-02-15,,202602
891478,SAN,BBG000BTJS47,BBG001S5WCX7,"Banco Santander, S.A.",2026-02-15,,202602
895421,MS,BBG000BLZRJ2,BBG001S9V5Z3,MORGAN STANLEY,2026-02-15,,202602
901832,AZN,BBG000D3MHB4,BBG001SCNW31,ASTRAZENECA PLC,2026-02-15,,202602
909832,COST,BBG000F6H8W8,BBG001S9KRQ7,COSTCO WHOLESALE CORP /NEW,2026-02-15,,202602
937966,ASML,BBG000K6MRN4,BBG001SCG0R3,ASML HOLDING NV,2026-02-15,,202602
947263,TD,BBG000BXBHJ4,BBG001S60L15,TORONTO DOMINION BANK,2026-02-15,,202602
1000184,SAP,BBG000BDSLD7,BBG001S6RD41,SAP SE,2026-02-15,,202602
1000275,RY,BBG000BSSC44,BBG001S60869,ROYAL BANK OF CANADA,2026-02-15,,202602
1018724,AMZN,BBG000BVPV84,BBG001S5PQL7,AMAZON COM INC,2026-02-15,,202602
1022837,SMFG,BBG000PMKCQ6,BBG001SLH608,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",2026-02-15,,202602
1045810,NVDA,BBG000BBJQV0,BBG001S5TZJ6,NVIDIA CORP,2026-02-15,,202602
1065280,NFLX,BBG000CL9VN6,BBG001SF6L46,NETFLIX INC,2026-02-15,,202602
1067983,BRK-B,,,BERKSHIRE HATHAWAY INC,2026-02-15,,202602
1075531,BKNG,BBG000BLBVN4,BBG001S89N72,Booking Holdings Inc.,2026-02-15,,202602
1089113,HSBC,BBG000C1K7N0,BBG001SCZVC0,HSBC HOLDINGS PLC,2026-02-15,,202602
1094517,TM,BBG000BPH299,BBG001SDB327,TOYOTA MOTOR CORP/,2026-02-15,,202602
1114448,NVS,BBG000LYF3S8,BBG001SF5LW6,NOVARTIS AG,2026-02-15,,202602
1137789,STX,BBG0113JGQF0,BBG0113JGQG9,Seagate Technology Holdings plc,2026-02-15,,202602
1141391,MA,BBG000F1ZSQ2,BBG001SKNNS6,Mastercard Inc,2026-02-15,,202602
1158838,ATEYY,BBG000BZ2J87,BBG001S26WK3,ADVANTEST CORP,2026-02-15,,202602
1283699,TMUS,BBG000NDV1D4,BBG001SKR9Y6,"T-Mobile US, Inc.",2026-02-15,,202602
1306965,SHEL,BBG0147BN6G2,BBG0147BN6H1,Shell plc,2026-02-15,,202602
1318605,TSLA,BBG000N9MNX3,BBG001SQKGD7,"Tesla, Inc.",2026-02-15,,202602
1321655,PLTR,BBG000N7QR55,BBG001T53796,Palantir Technologies Inc.,2026-02-15,,202602
1326801,META,BBG000MM2P62,BBG001SQCQC5,"Meta Platforms, Inc.",2026-02-15,,202602
1327567,PANW,BBG0014GJCT9,BBG001T9NWN5,Palo Alto Networks Inc,2026-02-15,,202602
1341439,ORCL,BBG000BQLTW7,BBG001S5SJG6,ORACLE CORP,2026-02-15,,202602
1393818,BX,BBG000BH0106,BBG001S7H949,Blackstone Inc.,2026-02-15,,202602
1403161,V,BBG000PSKYX7,BBG001SRCFY3,VISA INC.,2026-02-15,,202602
1413329,PM,BBG000J2XL74,BBG001STP9N1,Philip Morris International Inc.,2026-02-15,,202602
1535527,CRWD,BBG00BLYKS03,BBG00BLYKRZ7,"CrowdStrike Holdings, Inc.",2026-02-15,,202602
1551152,ABBV,BBG0025Y4RY4,BBG0025Y4RZ3,AbbVie Inc.,2026-02-15,,202602
1551182,ETN,BBG000BJ3PD2,BBG001S5QZ45,Eaton Corp plc,2026-02-15,,202602
1571996,DELL,BBG00DW3SZS1,BBG00DW3SZT0,Dell Technologies Inc.,2026-02-15,,202602
1577552,BABA,BBG006G2JVL2,BBG006G2JWB1,Alibaba Group Holding Ltd,2026-02-15,,202602
1594805,SHOP,BBG008HBD923,BBG004DW5NC7,SHOPIFY INC.,2026-02-15,,202602
1596532,ANET,BBG000N2HDY5,BBG001T51KQ0,"Arista Networks, Inc.",2026-02-15,,202602
1610520,UBS,BBG007DJM539,BBG007936GX0,UBS Group AG,2026-02-15,,202602
1652044,GOOGL,BBG009S39JX6,BBG009S39JY5,Alphabet Inc.,2026-02-15,,202602
1707925,LIN,BBG01FND0CC1,BBG01FND0CH6,LINDE PLC,2026-02-15,,202602
1730168,AVGO,BBG00KHY5S69,BBG00KHY5SY8,Broadcom Inc.,2026-02-15,,202602
1744489,DIS,BBG000BH4R78,BBG001S5QHF3,Walt Disney Co,2026-02-15,,202602
1835632,MRVL,BBG00ZXBJ153,BBG00ZXBJ162,"Marvell Technology, Inc.",2026-02-15,,202602
1973239,ARM,BBG01J1GXZF0,BBG01J1GY084,ARM HOLDINGS PLC /UK,2026-02-15,,202602
1996810,GEV,BBG013G17W31,BBG013G17W77,GE Vernova Inc.,2026-02-15,,202602
2012383,BLK,BBG01PSW2WN4,BBG01PSW2WR0,"BlackRock, Inc.",2026-02-15,,202602
2023554,SNDK,BBG01R388JG1,BBG01R388JK6,Sandisk Corp,2026-02-15,,202602
2053383,KXIAY,BBG01S1SB8B2,BBG01S1SB993,Kioxia Holdings Corporation/ADR,2026-02-15,,202602
2070829,CYATY,BBG01VT7KKS6,BBG01VT7KLT3,"Contemporary Amperex Technology Co., Limited/ADR",2026-02-15,,202602
2115436,XOM,BBG023CY9MM1,BBG023CY9NL0,ExxonMobil Holdings Corp,2026-02-15,,202602
